"№","column1","Игрок","Команда","Амплуа","Очки [{""name"":""data""},{""name"":""pen""},{""name"":""mins""},{""name"":""goal"",""reverse"":true},{""name"":""days"",""reverse"":true},{""name"":""average""},{""name"":""game""}]","Игры [{""name"":""game"",""empty"":""first""}]"
"294","","Риккардо Сбертоли","Италия","связующий","1","1"
"295","","Сашо Шталекар","Словения","центральный блокирующий","1","1"
"296","","Симон Торви","Германия","центральный блокирующий","1","1"
"297","","Тине Урнаут","Словения","доигровщик","1","1"
"298","","Якуб Новак","Польша","центральный блокирующий","1","1"
"299","","Адим Муса","Ливия","доигровщик","1","2"
"300","","Ашраф Эллакани","Египет","связующий","1","2"
"301","","Аюб Деккиш","Алжир","доигровщик","1","2"
"302","","Бруно Диас","Португалия","связующий","1","2"
"303","","Эхсан Данешдуст","Иран","доигровщик","1","2"
"304","","Юссуф Буруба","Алжир","диагональный","1","2"
"305","","Абдерауф Хамимес","Алжир","связующий","1","3"
"306","","Джейд Дискитадо","Филиппины","доигровщик","1","3"
"307","","Майкело Буддин","Филиппины","доигровщик","1","3"
"308","","Матеус Гонсалвес","Бразилия","связующий","1","3"
"309","","Матиас Банда","Чили","связующий","1","3"
"310","","Мотоки Эйро","Япония","связующий","1","3"
"311","","Тим Петер","Германия","доигровщик","1","3"
"312","","Ээми Тервапортти","Финляндия","связующий","1","3"
"313","","Владимир Гайович","Сербия","центральный блокирующий","1","4"
"314","","Стейн Д'Хюлст","Бельгия","связующий","1","5"
